paz	offset	packed_size	original_size	path
5539	1406412	560728	560717	sound2022/windows/chinese(prc)/cs_pedu_02_01_orbitameetbrandt_vce.bnk
5539	1967140	676072	676057	sound2022/windows/chinese(prc)/cs_pedu_02_02_orbitastone_vce.bnk
5539	2643212	122840	122830	sound2022/windows/chinese(prc)/cs_pedu_02_03_orbitarush_vce.bnk
5539	2766052	337568	337556	sound2022/windows/chinese(prc)/cs_pedu_02_04_orbitameetenslar_vce.bnk
5539	3103620	2747888	2747875	sound2022/windows/chinese(prc)/cs_pedu_02_05_bossenslar_vce.bnk
5539	5851508	1218080	1218071	sound2022/windows/chinese(prc)/cs_pedu_03_00_silentsea_vce.bnk
5539	7069588	452448	452432	sound2022/windows/chinese(prc)/cs_pedu_03_01_tragicreunion_vce.bnk
5539	7522036	1080504	1080494	sound2022/windows/chinese(prc)/cs_pedu_03_02_meetrusalka_vce.bnk
5539	8602540	97400	97391	sound2022/windows/chinese(prc)/cs_pedu_03_04_meetdodi_vce.bnk
5539	8699940	57768	57754	sound2022/windows/chinese(prc)/cs_pedu_04_01_tenebraumfirstmemory_vce.bnk
5539	8757708	387960	387950	sound2022/windows/chinese(prc)/cs_pedu_04_03_tenebraumlastmemory_vce.bnk
5539	9145668	974664	974649	sound2022/windows/chinese(prc)/cs_pedu_04_04_tenebraumaltar_vce.bnk
5540	844	270832	270819	sound2022/windows/chinese(prc)/cs_pedu_04_05_tenebraumdisappear_vce.bnk
5540	271676	2132888	2132879	sound2022/windows/chinese(prc)/cs_pedu_04_07_tenebraumencounter_vce.bnk
5540	2404564	572440	572424	sound2022/windows/chinese(prc)/cs_pedu_05_00_zephyrosenter_vce.bnk
5540	2977004	275288	275275	sound2022/windows/chinese(prc)/cs_pedu_05_01_zephyrosbattle_vce.bnk
5540	3252292	715712	715698	sound2022/windows/chinese(prc)/cs_pedu_05_02_zephyrosmeetgoyen_vce.bnk
5540	3968004	341472	341461	sound2022/windows/chinese(prc)/cs_pedu_05_03_zephyrosrush_vce.bnk
5540	4309476	506416	506401	sound2022/windows/chinese(prc)/cs_pedu_05_04_zephyrostoad_vce.bnk
5540	4815892	395880	395870	sound2022/windows/chinese(prc)/cs_pedu_05_06_meetcaphras_vce.bnk
5540	5211772	2462960	2462950	sound2022/windows/chinese(prc)/cs_pedu_05_07_bosscaphras_vce.bnk
5540	7674732	274528	274512	sound2022/windows/chinese(prc)/cs_pedu_05_08_illezraappear_vce.bnk
5540	7949260	188640	188625	sound2022/windows/chinese(prc)/cs_pedu_06_00_ending_vce.bnk
5540	8137900	130224	130211	sound2022/windows/chinese(prc)/cs_pedu_06_01_pt2cookie_vce.bnk
5540	8268124	404352	404339	sound2022/windows/cs_pedu_01_00_aeteriongimmik_sound.bnk
5541	700	588800	588787	sound2022/windows/chinese(prc)/cs_pedu_07_01_armor_vce.bnk
5541	589500	526976	526964	sound2022/windows/chinese(prc)/ics_pedu_20.bnk
5541	1116476	1370168	1370155	sound2022/windows/chinese(prc)/ics_pedu_21.bnk
5541	2486644	93688	93677	sound2022/windows/effect_28_18.bnk
5541	2580332	72048	72033	sound2022/windows/effect_28_19.bnk
5541	2652380	98144	98131	sound2022/windows/effect_29_32.bnk
5541	2750524	63912	63900	sound2022/windows/effect_29_33.bnk
5541	2814436	96240	96225	sound2022/windows/effect_31_24.bnk
5541	2910676	194784	194771	sound2022/windows/effect_31_25.bnk
5541	3105460	226232	226220	sound2022/windows/effect_31_26.bnk
5541	3331692	1585560	1585546	sound2022/windows/monster_fx_m0056_demonlandnhm_awaken_normal_0.bnk
5541	4917252	4242800	4242790	sound2022/windows/monster_fx_m0056_demonlandnhm_normal_0.bnk
5541	9160052	1560784	1560770	sound2022/windows/monster_fx_m0072_landspider_rock_0017_normal_0.bnk
5542	7836	30160	30144	sound2022/windows/chinese(prc)/npc_vce_40766_65_2_2_1.bnk
5542	37996	34456	34446	sound2022/windows/chinese(prc)/npc_vce_40766_65_2_2_2.bnk
5542	72452	31768	31758	sound2022/windows/chinese(prc)/npc_vce_40766_65_2_2_3.bnk
5542	104220	25120	25107	sound2022/windows/chinese(prc)/npc_vce_40766_65_2_2_4.bnk
5542	129340	29784	29771	sound2022/windows/chinese(prc)/npc_vce_42120_43_1_2_01.bnk
5542	159124	32944	32933	sound2022/windows/chinese(prc)/npc_vce_42120_43_1_2_02.bnk
5542	192068	20448	20432	sound2022/windows/chinese(prc)/npc_vce_42120_43_1_2_03.bnk
5542	212516	35904	35895	sound2022/windows/chinese(prc)/npc_vce_42120_43_1_2_04.bnk
5542	248420	37584	37574	sound2022/windows/chinese(prc)/npc_vce_42120_43_1_2_05.bnk
5542	286004	20032	20017	sound2022/windows/chinese(prc)/npc_vce_44578_52_34_2_1.bnk
5542	306036	21872	21856	sound2022/windows/chinese(prc)/npc_vce_44578_52_34_2_2.bnk
5542	327908	23888	23878	sound2022/windows/chinese(prc)/npc_vce_44578_52_34_2_3.bnk
5542	351796	21048	21034	sound2022/windows/chinese(prc)/npc_vce_44578_52_34_2_4.bnk
5542	372844	41448	41435	sound2022/windows/chinese(prc)/npc_vce_47648_1.bnk
5542	414292	48064	48054	sound2022/windows/chinese(prc)/npc_vce_47648_1_10_bahram_pam.bnk
5542	462356	44864	44850	sound2022/windows/chinese(prc)/npc_vce_47648_1_11_bahram_pam.bnk
5542	507220	61224	61210	sound2022/windows/chinese(prc)/npc_vce_47648_1_1_bahram.bnk
5542	568444	60752	60737	sound2022/windows/chinese(prc)/npc_vce_47648_1_1_bahram_pam.bnk
5542	629196	56184	56171	sound2022/windows/chinese(prc)/npc_vce_47648_1_2_bahram.bnk
